鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
龜山區,土地,海萍段691~720地號,21.59,,鄉村區,乙種建築用地,1060306,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,442595,20500,,0.0,0,?地買賣,RPTNMLOKLHMFFHH98CA
龜山區,土地,樂捷段1~30地號,672.3,工,,,1051202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,42300000,62918,,0.0,0,,RPPNMLPKLHMFFHH68CA
龜山區,房地(土地+建物),桃園市龜山區明德路271~300號,10.41,住,,,1060306,土地1建物1車位0,三層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0921215,24.78,1,0,1,有,有,1250000,50444,,0.0,0,,RPSNMLKLLHMFFHH58CA
龜山區,土地,南崁頂段陳厝坑小段1~30地號,175.87,其他,,,1060124,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1459721,8300,,0.0,0,土地增值稅由買方負擔。,RPSOMLKLLHMFFHH68CA
龜山區,土地,南崁頂段陳厝坑小段1~30地號,358.2,其他,,,1060124,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1516977,4235,,0.0,0,土地增值稅由買方負擔。,RPUOMLKLLHMFFHH88CA
龜山區,土地,南崁頂段陳厝坑小段1~30地號,24.37,其他,,,1060124,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,103193,4234,,0.0,0,土地增值稅由買方負擔。,RPWOMLKLLHMFFHH09CA
龜山區,土地,南崁頂段陳厝坑小段1~30地號,600.66,其他,,,1060124,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2543795,4235,,0.0,0,土地增值稅由買方負擔。,RPRNMLLLLHMFFHH58CA
龜山區,土地,南崁頂段陳厝坑小段1~30地號,1371.27,其他,,,1060124,土地8建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5679508,4142,,0.0,0,土地增值稅由買方負擔。,RPTNMLLLLHMFFHH78CA
龜山區,房地(土地+建物)+車位,桃園市龜山區陸光路61~90號,42.86,住,,,1060218,土地2建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0940205,182.88,3,2,2,有,有,8100000,44291,坡道平面,0.0,0,,RPTNMLRJMHMFFHH66CA
龜山區,土地,南崁頂段員林坑小段31~60地號,408.38,其他,,,1060218,土地13建物0車位0,,,其他,,,,0.0,0,0,0,有,無,407000,997,,0.0,0,,RPRNMLLKMHMFFHH58CA
龜山區,房地(土地+建物)+車位,桃園市龜山區長峰路61~90號,14.76,住,,,1060216,土地1建物1車位1,十六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030224,130.71,2,2,1,有,有,6560000,50187,坡道平面,26.81,0,,RPOOMLLLLHMFFHH38CA
龜山區,房地(土地+建物),桃園市龜山區幸福二十九街1~30號,20.5,,山坡地保育區,特定目的事業用地,1060215,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720611,81.92,3,2,1,有,無,2600000,31738,,0.0,0,含增建或未登記建物。,RPVNMLOLLHMFFHH66CA
桃園區,房地(土地+建物),桃園市桃園區中正路1351~1380號,11.31,住,,,1060222,土地1建物1車位0,十九層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860519,111.9,3,2,2,有,有,6460000,57730,,0.0,0,,RPOQMLNJNHMFFAH28EA
中壢區,房地(土地+建物)+車位,桃園市中壢區領航北路二段151~180號,25.6,住,,,1051208,土地1建物1車位1,一層，見其他登記事項,十九層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1040413,156.68,0,0,0,無,有,22520000,176660,坡道平面,35.43,1100000,,RPUOMLMJNHMFFBH68EA
中壢區,房地(土地+建物)+車位,桃園市中壢區領航北路二段151~180號,37.23,住,,,1051208,土地1建物1車位2,一層，見其他登記事項,十九層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1040413,243.82999999999998,0,0,0,無,有,32200000,173440,坡道平面,70.86,2200000,,SPUOMLMJNHMFFBH78EA
龜山區,房地(土地+建物)+車位,桃園市龜山區長峰路91~120號,21.2,住,,,1060219,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011215,187.88,4,2,2,有,有,9180000,48861,坡道平面,35.83,0,,RPUNMLMLLHMFFHH09DA
龜山區,房地(土地+建物),桃園市龜山區萬壽路一段151~180號,2.89,商,,,1060125,土地1建物1車位0,六層,二十二層,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0820824,35.41,0,0,0,無,有,2500000,70602,,0.0,0,,RPQNMLLKMHMFFHH58DA
八德區,土地,廣福段781~810地號,50.74,住,,,1060217,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,59125,,0.0,0,,RPTNMLQKLHMFFFH09DA
八德區,房地(土地+建物)+車位,桃園市八德區廣豐二街1~30號,40.92,住,,,1051211,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020910,238.15,4,2,2,有,有,15000000,62986,坡道平面,0.0,0,含增建或未登記建物,RPWOMLMLLHMFFFH56DA
中壢區,房地(土地+建物),桃園市中壢區博愛三路31~60號,23.25,商,,,1051229,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680606,71.72,2,1,1,有,無,2900000,40435,,0.0,0,親友、員工或其他特殊關係間之交易。,RPRQMLNKMHMFFBH68EA
八德區,土地,興隆段1741~1770地號,396.46,農,,,1060224,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10792800,27223,,0.0,0,畸零地或有合併使用之交易。,RPQNMLQLMHMFFFH09EA
